view_mode,display_mode,pair_id,pair_label,pair_color,dataset_id,dataset_name,x_source_id,x_metric_type,x_column,x_label,y_source_id,y_metric_type,y_column,y_label,x_value,y_value,display_unit
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.66908747,-9.83,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.74991363,-15.12,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.69646674,-6.1,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.77901655,-8.28,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.5504671,-10.73,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.5745964,-9.78,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.3693956,-11.88,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.49197656,-8.47,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.36200693,-7.38,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.4332551,-9.12,nm
